iter	Logloss
0	0.6611568839
1	0.6323827325
2	0.6022855388
3	0.5767985442
4	0.5620882036
5	0.5469417614
6	0.5291892262
7	0.5170230176
8	0.5038960913
9	0.4914010903
10	0.4816714211
11	0.4714751353
12	0.4653042712
13	0.4607224361
14	0.4564112763
15	0.4508861075
16	0.4461742677
17	0.4419935086
18	0.4362524729
19	0.433327118
20	0.4293749058
21	0.4259817124
22	0.4233549673
23	0.420151754
24	0.4170262424
25	0.4138039236
26	0.4118848617
27	0.4102272538
28	0.408344492
29	0.4059356959
30	0.4047581094
31	0.403644031
32	0.4013746872
33	0.4004871331
34	0.3994239256
35	0.3978234501
36	0.3965390977
37	0.394537938
38	0.393642238
39	0.3925339294
40	0.3918921108
41	0.3906338181
42	0.387316863
43	0.3865065333
44	0.3849330521
45	0.3838316238
46	0.3813541102
47	0.3793335024
48	0.3787162639
49	0.3775094893
50	0.3751191622
51	0.3744917694
52	0.3724110618
53	0.3720939722
54	0.3713419837
55	0.3709207635
56	0.3702416102
57	0.3689788839
58	0.3684027162
59	0.3671467995
60	0.3667986034
61	0.3661944687
62	0.3653679835
63	0.3647901987
64	0.3636269558
65	0.363323155
66	0.362193383
67	0.3612578617
68	0.3607246249
69	0.3602728971
70	0.3598295868
71	0.3591797212
72	0.3577594693
73	0.3573892528
74	0.3571357009
75	0.3558748839
76	0.3554265111
77	0.3546280654
78	0.3541317258
79	0.3538926272
80	0.3534580487
81	0.3529685025
82	0.3523879413
83	0.3509688897
84	0.3502848224
85	0.3500019775
86	0.3495760625
87	0.3487135018
88	0.3484701437
89	0.3480000742
90	0.3473467612
91	0.3469270132
92	0.3461979922
93	0.3458051326
94	0.3453252114
95	0.3450057985
96	0.3446675119
97	0.3440458424
98	0.3438840615
99	0.3434613334
100	0.3431366603
101	0.3428056877
102	0.3426083477
103	0.3422768836
104	0.3420539764
105	0.3418146675
106	0.3415283721
107	0.3413746614
108	0.3412188072
109	0.3409925634
110	0.3404330198
111	0.3401820848
112	0.3395741599
113	0.3389197127
114	0.3387040771
115	0.3386432698
116	0.3383539735
117	0.338123574
118	0.3379250211
119	0.3378059777
120	0.3374999758
121	0.3370828123
122	0.3368865012
123	0.3366206701
124	0.3362055302
125	0.3358704115
126	0.334644169
127	0.3343128467
128	0.3332982173
129	0.3330505923
130	0.3324120974
131	0.3319855386
132	0.3317183537
133	0.3314680168
134	0.3313442561
135	0.3305466416
136	0.3300139811
137	0.3293207309
138	0.3291958059
139	0.3290257496
140	0.3287893585
141	0.3283448469
142	0.3280625468
143	0.3275097692
144	0.3267133923
145	0.3264009428
146	0.3256436539
147	0.3253308225
148	0.3250147749
149	0.3247006187
150	0.32430567
151	0.3240951104
152	0.3236010525
153	0.3231126939
154	0.3224272633
155	0.3216486757
156	0.3212208535
157	0.3209399251
158	0.3206723072
159	0.319905255
160	0.3193947175
161	0.3189103558
162	0.3185458456
163	0.317949897
164	0.3176909567
165	0.3169223566
166	0.3166253356
167	0.3160847296
168	0.3157049869
169	0.3152415073
170	0.3148312773
171	0.3142643922
172	0.3140272956
173	0.3134549693
174	0.312943031
175	0.3125196948
176	0.3119660913
177	0.3114971657
178	0.3111530626
179	0.3107605219
180	0.31043105
181	0.3100358223
182	0.3095991406
183	0.3092013834
184	0.3088502109
185	0.3085344748
186	0.3082221197
187	0.3078537807
188	0.3074717874
189	0.3072250046
190	0.3069812552
191	0.3066800422
192	0.3062632031
193	0.3060360875
194	0.3058838626
195	0.3054416259
196	0.3050699286
197	0.3048757603
198	0.3042400109
199	0.3040642018
200	0.3037749583
201	0.3035837394
202	0.3033259716
203	0.3031609591
204	0.3028089844
205	0.3025865932
206	0.3023689262
207	0.3017943702
208	0.3014897085
209	0.3010214694
210	0.3007213637
211	0.3005653915
212	0.3002631962
213	0.3000173852
214	0.2996988628
215	0.2994575736
216	0.2989857206
217	0.2984166957
218	0.2982330324
219	0.2978923102
220	0.2975846496
221	0.2972878138
222	0.2969203142
223	0.2967321979
224	0.2963574566
225	0.2960700803
226	0.2957285342
227	0.2955483716
228	0.2953763269
229	0.2951667255
230	0.2947403575
231	0.2945128923
232	0.294292846
233	0.2941119007
234	0.2936690594
235	0.2934920887
236	0.2931868067
237	0.2928407168
238	0.2927280574
239	0.2926210087
240	0.2922493344
241	0.2919395883
242	0.2918715066
243	0.2915731636
244	0.2913818789
245	0.2912169553
246	0.2910158622
247	0.2908817946
248	0.2907668421
249	0.2903610189
250	0.2901616836
251	0.2898599231
252	0.2895495969
253	0.2892594155
254	0.2889001988
255	0.2886634992
256	0.2885148294
257	0.2884086332
258	0.2881836316
259	0.2878713855
260	0.2875048617
261	0.287356276
262	0.2872839393
263	0.287031184
264	0.286859582
265	0.2867583427
266	0.2866491462
267	0.2863265126
268	0.2861557352
269	0.2859723193
270	0.2856759823
271	0.2855757622
272	0.2852921436
273	0.2850148192
274	0.2847072938
275	0.2844197296
276	0.2842290409
277	0.2839630308
278	0.2838387927
279	0.2835507521
280	0.2830953221
281	0.282836495
282	0.2826593409
283	0.2825010895
284	0.2823376259
285	0.2820019091
286	0.2817024583
287	0.281547939
288	0.2813374642
289	0.2812436082
290	0.2809934396
291	0.2808959285
292	0.2806670217
293	0.2804736103
294	0.2802377508
295	0.2802366094
296	0.2800235812
297	0.2797896426
298	0.2796079633
299	0.2794836135
300	0.2794825321
301	0.2793140855
302	0.2790613741
303	0.279060463
304	0.2789346259
305	0.2787645656
306	0.2787638315
307	0.2786308987
308	0.2785714389
309	0.278446115
310	0.278153646
311	0.277918382
312	0.2776608794
313	0.2774908379
314	0.2772499584
315	0.2772489863
316	0.2772426863
317	0.2772419534
318	0.2771323465
319	0.2771322396
320	0.2767692097
321	0.276703109
322	0.2767021959
323	0.2767013009
324	0.2764790091
325	0.2763872326
326	0.2763161485
327	0.2760847932
328	0.2760399167
329	0.2760390728
330	0.2759795947
331	0.2759788723
332	0.2759230318
333	0.2759222537
334	0.2758572624
335	0.2758564845
336	0.2757279556
337	0.275581477
338	0.2754163913
339	0.2752096222
340	0.2749889603
341	0.2749886557
342	0.2746084199
343	0.2743532964
344	0.2741725733
345	0.2739011819
346	0.2737059096
347	0.2734281759
348	0.273360737
349	0.2731200129
350	0.2729476812
351	0.272777951
352	0.2725401106
353	0.2723354788
354	0.2721542843
355	0.2719195865
356	0.2716262464
357	0.2713070001
