iter	Passed	Remaining
0	3	1329
1	7	1288
2	10	1282
3	14	1263
4	17	1265
5	21	1269
6	24	1252
7	29	1302
8	33	1290
9	37	1289
10	40	1285
11	44	1268
12	47	1262
13	50	1250
14	54	1237
15	58	1260
16	62	1249
17	65	1242
18	69	1240
19	73	1236
20	77	1241
21	80	1236
22	85	1241
23	89	1242
24	94	1253
25	98	1254
26	102	1256
27	106	1254
28	110	1248
29	114	1247
30	118	1247
31	122	1245
32	126	1247
33	130	1243
34	134	1243
35	139	1245
36	143	1240
37	146	1233
38	149	1223
39	152	1215
40	156	1210
41	160	1204
42	163	1196
43	167	1191
44	170	1185
45	173	1179
46	177	1174
47	181	1173
48	185	1169
49	189	1170
50	194	1168
51	197	1164
52	202	1163
53	206	1163
54	210	1157
55	213	1153
56	217	1148
57	220	1142
58	225	1141
59	229	1137
60	232	1134
61	236	1129
62	240	1127
63	244	1124
64	248	1120
65	251	1114
66	255	1109
67	258	1104
68	262	1099
69	266	1095
70	269	1090
71	273	1085
72	277	1081
73	281	1078
74	284	1075
75	289	1075
76	293	1070
77	297	1066
78	301	1063
79	304	1059
80	308	1056
81	312	1051
82	315	1046
83	319	1042
84	323	1038
85	326	1033
86	330	1029
87	334	1025
88	338	1022
89	342	1018
90	345	1014
91	349	1011
92	354	1008
93	357	1005
94	362	1002
95	366	999
96	370	996
97	374	992
98	377	988
99	381	984
100	384	979
101	388	975
102	391	970
103	395	965
104	399	962
105	402	957
106	406	953
107	409	949
108	414	946
109	418	942
110	422	941
111	426	937
112	431	934
113	435	931
114	438	927
115	442	922
116	445	917
117	448	912
118	452	908
119	456	904
120	459	899
121	463	896
122	466	891
123	470	887
124	474	883
125	478	880
126	481	876
127	485	872
128	489	868
129	492	864
130	496	861
131	500	857
132	504	853
133	508	849
134	512	846
135	515	842
136	519	838
137	523	834
138	527	830
139	531	826
140	534	823
141	538	819
142	542	816
143	546	812
144	550	808
145	553	804
146	557	799
147	560	795
148	564	791
149	567	787
150	571	782
151	574	779
152	579	775
153	582	772
154	587	769
155	591	765
156	595	762
157	598	758
158	602	754
159	606	751
160	610	747
161	614	742
162	618	739
163	621	735
164	626	732
165	630	728
166	633	725
167	638	722
168	642	718
169	646	714
170	649	710
171	653	706
172	656	701
173	660	698
174	663	694
175	667	690
176	670	685
177	673	681
178	677	677
179	680	673
180	684	669
181	688	665
182	691	661
183	695	657
184	699	654
185	703	650
186	707	646
187	711	643
188	715	639
189	719	636
190	722	632
191	726	628
192	730	624
193	734	621
194	738	617
195	742	613
196	746	609
197	750	606
198	754	602
199	757	598
200	761	594
201	764	590
202	768	586
203	771	582
204	775	578
205	778	574
206	782	570
207	785	566
208	788	562
209	792	558
210	796	554
211	799	550
212	803	546
213	807	543
214	811	539
215	816	536
216	820	533
217	825	529
218	828	525
219	832	522
220	836	518
221	840	514
222	844	511
223	848	507
224	853	504
225	857	500
226	861	497
227	865	493
228	869	489
229	873	485
230	877	482
231	882	479
232	886	475
233	890	471
234	894	468
235	898	464
236	901	460
237	905	456
238	908	452
239	912	448
240	915	444
241	919	440
242	922	436
243	926	432
244	929	428
245	932	424
246	936	420
247	939	416
248	942	412
249	947	409
250	951	405
251	955	401
252	959	398
253	963	394
254	966	390
255	970	386
256	974	383
257	978	379
258	982	375
259	985	371
260	989	367
261	992	363
262	996	359
263	999	355
264	1003	352
265	1007	348
266	1010	344
267	1014	340
268	1018	336
269	1022	333
270	1026	329
271	1029	325
272	1033	321
273	1036	317
274	1040	313
275	1044	310
276	1047	306
277	1051	302
278	1055	298
279	1059	295
280	1062	291
281	1065	287
282	1070	283
283	1074	279
284	1078	276
285	1085	273
286	1092	270
287	1097	266
288	1100	262
289	1104	259
290	1108	255
291	1113	251
292	1118	248
293	1122	244
294	1126	240
295	1130	236
296	1134	232
297	1138	229
298	1142	225
299	1146	221
300	1149	217
301	1154	214
302	1158	210
303	1161	206
304	1165	202
305	1169	198
306	1173	194
307	1177	191
308	1181	187
309	1185	183
310	1190	179
311	1194	176
312	1198	172
313	1203	168
314	1207	164
315	1211	161
316	1215	157
317	1219	153
318	1223	149
319	1226	145
320	1229	141
321	1233	137
322	1236	133
323	1240	130
324	1245	126
325	1249	122
326	1252	118
327	1256	114
328	1260	111
329	1263	107
330	1266	103
331	1270	99
332	1273	95
333	1277	91
334	1280	87
335	1283	84
336	1286	80
337	1290	76
338	1293	72
339	1296	68
340	1300	64
341	1303	60
342	1306	57
343	1310	53
344	1313	49
345	1318	45
346	1322	41
347	1326	38
348	1329	34
349	1334	30
350	1338	26
351	1342	22
352	1346	19
353	1350	15
354	1354	11
355	1358	7
356	1362	3
357	1366	0
