id,age,job,marital_status,education,default_loan,balance,housing_loan,personal_loan,contact_type,day,month,duration,campaign,pdays,previous,poutcome,subscription
0,34,TECH,SIN,SEC,N,302,Y,N,UNK,14,5,282,1,-1,0,UNK,0
1,31,MGNT,MAR,TER,N,2229,Y,N,UNK,26,5,90,4,-1,0,UNK,0
2,34,UNK,MAR,SEC,N,1434,N,N,CEL,21,11,50,2,-1,0,UNK,0
3,41,SERV,MAR,PRIM,N,450,Y,N,CEL,17,4,122,1,338,2,FAIL,0
4,60,ADMIN,MAR,SEC,N,-396,Y,N,CEL,11,5,443,1,350,1,FAIL,0
5,43,MGNT,MAR,SEC,N,17555,N,N,CEL,26,8,14,14,-1,0,UNK,0
6,58,UNK,MAR,PRIM,N,7369,N,N,TEL,4,6,247,2,-1,0,UNK,0
7,41,SELF,MAR,TER,N,-326,Y,Y,UNK,23,5,86,2,-1,0,UNK,0
8,56,ADMIN,MAR,SEC,N,2796,N,N,TEL,31,7,39,3,-1,0,UNK,0
9,27,SERV,SIN,SEC,N,482,Y,N,UNK,6,6,220,2,-1,0,UNK,0
10,37,MGNT,SIN,TER,N,62,Y,N,CEL,2,8,428,2,272,8,SUC,1
11,54,SELF,MAR,SEC,N,745,N,Y,CEL,25,8,110,6,-1,0,UNK,0
12,42,ADMIN,SIN,SEC,N,243,Y,N,UNK,14,5,46,5,-1,0,UNK,0
13,38,ADMIN,DIV,SEC,N,156,Y,N,UNK,17,6,544,3,-1,0,UNK,0
14,50,MGNT,MAR,TER,N,-470,Y,N,CEL,19,11,130,2,160,1,FAIL,0
15,41,BLUE,DIV,PRIM,N,1563,Y,N,UNK,15,5,112,1,-1,0,UNK,0
16,32,MGNT,MAR,TER,N,500,N,Y,CEL,29,8,107,2,-1,0,UNK,0
17,59,MGNT,DIV,SEC,N,0,N,N,CEL,22,8,125,2,-1,0,UNK,0
18,47,HOUSE,DIV,SEC,N,26,N,N,CEL,22,8,48,4,-1,0,UNK,0
19,26,BLUE,SIN,SEC,N,419,Y,N,UNK,28,5,94,3,-1,0,UNK,0
20,42,TECH,DIV,SEC,N,-593,N,N,CEL,28,1,69,1,-1,0,UNK,0
21,40,SERV,SIN,SEC,N,19343,Y,N,UNK,26,5,168,4,-1,0,UNK,0
22,46,MGNT,SIN,TER,N,2223,N,N,UNK,12,6,67,3,-1,0,UNK,0
23,31,TECH,SIN,SEC,N,2377,Y,N,CEL,11,5,350,3,-1,0,UNK,0
24,53,retired,SIN,PRIM,N,0,N,N,UNK,9,6,114,1,-1,0,UNK,0
25,41,BLUE,MAR,SEC,N,1100,Y,N,CEL,18,11,397,1,173,2,FAIL,0
26,51,ADMIN,SIN,SEC,N,2685,N,N,UNK,20,6,78,2,-1,0,UNK,0
27,28,TECH,SIN,SEC,N,1405,Y,N,CEL,5,2,605,3,-1,0,UNK,0
