iter	TotalF1:average=Macro	MultiClass
0	0.3247410185	2.252817199
1	0.3726201945	2.210190529
2	0.3816817325	2.169154793
3	0.3912939643	2.13249701
4	0.3943425893	2.098714084
5	0.3995366231	2.0645082
6	0.3980801364	2.033125673
7	0.4016573476	2.002929495
8	0.409404813	1.978427033
9	0.4088865648	1.953810713
10	0.4089661321	1.930022667
11	0.4142362271	1.907534838
12	0.4153335624	1.88497316
13	0.4157141289	1.863385044
14	0.41992771	1.843959238
15	0.4230416824	1.825810206
16	0.4305088738	1.808436063
17	0.4336363402	1.791591018
18	0.4341297332	1.776015103
19	0.4346718429	1.761316132
20	0.4363471576	1.7471539
21	0.4375021026	1.733049442
22	0.4414207229	1.719384116
23	0.4413981601	1.706168226
24	0.445483979	1.694879765
25	0.4458296269	1.682275019
26	0.4491758599	1.671043692
27	0.4541007071	1.659489528
28	0.4562388668	1.647688028
29	0.4562216303	1.636329081
30	0.4573607975	1.626418076
31	0.4600771896	1.615753804
32	0.4618703532	1.606459122
33	0.467048591	1.596132459
34	0.4674181994	1.586337167
35	0.469175016	1.577128927
36	0.4724023671	1.567912183
37	0.4726346211	1.559544033
38	0.4751349603	1.551594624
39	0.4763739209	1.543644703
40	0.4773542938	1.536434718
41	0.4788656788	1.528794872
42	0.4811510703	1.520799661
43	0.4845938995	1.513176747
44	0.484581091	1.506403368
45	0.4853268485	1.499162204
46	0.4885567977	1.491980489
47	0.4911719055	1.484629152
48	0.4924275917	1.476888152
49	0.4967708408	1.470034289
50	0.4993993586	1.463290047
51	0.499649803	1.456769987
52	0.4998660543	1.451315236
53	0.5014197437	1.445343474
54	0.5043348383	1.43890317
55	0.5047689464	1.433870094
56	0.5069943218	1.427434654
57	0.5065087426	1.42134045
58	0.5094492188	1.415420248
59	0.5124317958	1.410015926
60	0.5153829893	1.40501174
61	0.5161204952	1.398845575
62	0.5183620557	1.393483057
63	0.5200936405	1.388250519
64	0.5209295932	1.383232558
65	0.5223121801	1.378315672
66	0.5239782073	1.373009646
67	0.526666941	1.367597132
68	0.526958978	1.363144925
69	0.5285947131	1.358757144
70	0.5310781242	1.354709047
71	0.5330202057	1.350214084
72	0.5366599131	1.344824554
73	0.5375456497	1.340150689
